Year,Unit,Fleet,Estimate_metric_tons,SD_log,SD_mt
2003,1,8,104202.8557,0.08527712,7502.160225
2004,1,8,116109.3583,0.094486507,9199.341225
2005,1,8,102725.5141,0.082217251,7149.94046
2006,1,8,95070.76847,0.082666739,6662.253805
2007,1,8,90239.43924,0.082703943,6323.858363
2008,1,8,68172.08452,0.08287811,4781.015257
2009,1,8,65137.87747,0.084769226,4668.460412
2010,1,8,64068.3762,0.081400514,4434.822717
2011,1,8,76769.63961,0.081121981,5304.646587
2012,1,8,70287.45868,0.088459381,5299.537726
2013,1,8,73202.13719,0.09589815,5872.934213
2014,1,8,81961.07141,0.08174035,5709.375633
2015,1,8,81429.01657,0.082354485,5696.86872
2016,1,8,79898.83034,0.080325229,5479.05624
2017,1,8,105004.6108,0.08225684,7370.273252
2018,1,8,110498.9052,0.083743702,7918.564305
2019,1,8,101466.9015,0.116470153,9817.027542
2003,1,north,62242.64823,0.089816439,4827.209476
2004,1,north,65702.80331,0.105732458,5890.84849
2005,1,north,52382.22396,0.088916671,4013.6696
2006,1,north,52099.13437,0.094535989,4218.527478
2007,1,north,43690.26051,0.088293205,3329.060685
2008,1,north,37055.01549,0.092323828,2927.787818
2009,1,north,32554.0895,0.093807378,2613.727724
2010,1,north,36007.25369,0.088876833,2761.610339
2011,1,north,39400.56192,0.094571506,3194.540484
2012,1,north,36681.27844,0.093434803,2960.899906
2013,1,north,35428.78216,0.102883751,3093.352515
2014,1,north,37863.41112,0.090836827,2957.109301
2015,1,north,46999.03655,0.0916232,3695.084578
2016,1,north,46442.5797,0.087968502,3533.858473
2017,1,north,60873.40263,0.092082734,4839.553374
2018,1,north,71172.99626,0.095974229,5900.809668
2019,1,north,58295.48007,0.128380737,6272.620325
2003,1,south,41960.20751,0.121335075,4153.131596
2004,1,south,50406.55499,0.117433472,4890.723928
2005,1,south,50343.29013,0.107226372,4484.669893
2006,1,south,42971.63411,0.102665056,3692.677385
2007,1,south,46549.17873,0.10633124,4121.313737
2008,1,south,31117.06903,0.105287982,2734.87134
2009,1,south,32583.78797,0.107486771,2924.701645
2010,1,south,28061.12251,0.105539033,2470.581874
2011,1,south,37369.07769,0.097495339,3082.0117
2012,1,south,33606.18024,0.111453203,3145.1875
2013,1,south,37773.35503,0.121567677,3789.858792
2014,1,south,44097.66029,0.102141783,3809.237101
2015,1,south,34429.98002,0.104566162,3016.297718
2016,1,south,33456.25064,0.10483128,2939.368397
2017,1,south,44131.20813,0.106050754,3928.560751
2018,1,south,39325.90892,0.100829295,3334.813958
2019,1,south,43171.42147,0.143333828,5078.089872
