"Quantity","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","6149.25","5184.8","3987.2","4216.46","5025.23","5305.81","5350.64","5126.94","5193.71","3762.75","NA"
"Total Dead","6253.97","5283.6","4050.48","4294.9","5105.52","5401.39","5465.76","5220.22","5372.81","3882.69","NA"
"(1-SPR)/(1-SPR_45%)","0.97","0.75","0.61","0.61","0.71","0.76","0.68","0.66","0.62","0.40","NA"
"Exploitation Rate","0.03","0.02","0.02","0.02","0.02","0.03","0.02","0.02","0.02","0.01","NA"
"Age 4+ Biomass (mt)","197,753","219,764","210,986","214,890","210,057","200,261","218,814","214,801","220,274","261,038","375,550"
"Spawning Biomass (mt)","80,352","79,223","79,605","80,188","79,676","78,633","79,327","80,687","83,925","90,757","97,802"
"Interval","32,648–128,055","31,839–126,607","32,060–127,150","32,564–127,812","32,447–126,905","31,825–125,442","31,973–126,681","32,504–128,871","33,936–133,914","37,136–144,377","40,802–154,801"
"Recruits","6,446","2,759","34,308","6,709","18,011","55,595","10,689","8,151","6,274","12,455","15,208"
"Interval","2,238–10,654","354–5,165","15,326–53,289","2,238–11,179","7,330–28,692","24,622–86,567","3,034–18,344","519–15,784","-9,844–22,392","-21,008–45,919","-27,594–58,009"
"Fraction Unfished","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.6"
"Interval","0.3–0.6","0.3–0.6","0.3–0.6","0.3–0.6","0.3–0.6","0.3–0.6","0.3–0.6","0.3–0.6","0.3–0.7","0.4–0.7","0.4–0.8"
